step_number,step_description,unit,component_item_code,blend_item_code
10,Add DYE-Liquitint Pink L83045,grams,050020,052000G4-21
11,Agitate for 10 minutes.,,,052000G4-21
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,052000G4-21
13,Ensure that any agitators used have been turned off.,,,052000G4-21
14,Remove GHS label from the mix vessel.,,,052000G4-21
1,Gather the required materials. ,,,052000G4/D15PK
2,Verify that vessel is clean. ,,,052000G4/D15PK
3,Apply GHS label to the mix vessel.,,,052000G4/D15PK
4,Charge vessel with water.,GAL,WATER,052000G4/D15PK
5,Start agitator.,,,052000G4/D15PK
6,Add DYE-Liquitint Pink L83045    ---   (add dye before DNA),grams,050020,052000G4/D15PK
7,Add CHEM - Denatured Alcohol (6.747lbs/gal),GAL,031018,052000G4/D15PK
8,Add CHEM-Glycerine 99.7% (10.5lbs/gal),GAL,050000G,052000G4/D15PK
9,Agitate for 20 minutes.,,,052000G4/D15PK
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,052000G4/D15PK
11,Ensure that any agitators used have been turned off.,,,052000G4/D15PK
1,Gather the required materials.,,,052000PG27
2,Verify that vessel is clean. ,,,052000PG27
3,Apply GHS label to the mix vessel.,,,052000PG27
4,Charge vessel with water.,GAL,WATER,052000PG27
5,Start agitator.,,,052000PG27
6,Add CHEM - PREVENTOL D7,lbs,030146P,052000PG27
7,Add CHEM - DKP - LIQUID  50% (12.84lb/gal),GAL,030066,052000PG27
9,Add PG,GAL,050000,052000PG27
10,Add DYE-Liquitint Pink L83045,grams,050020,052000PG27
11,Agitate for 10 minutes.,,,052000PG27
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,052000PG27
13,Ensure that any agitators used have been turned off.,,,052000PG27
14,Remove GHS label from the mix vessel.,,,052000PG27
1,Gather the required materials.,,,EU052000G4-21
2,Verify that vessel is clean. ,,,EU052000G4-21
3,Apply GHS label to the mix vessel.,,,EU052000G4-21
4,Charge vessel with water.,GAL,WATER,EU052000G4-21
5,Start agitator.,,,EU052000G4-21
6,Add CHEM -Busan 1264,lbs,030146,EU052000G4-21
7,Add CHEM - DKP - LIQUID  50% (12.84lb/gal),GAL,030066,EU052000G4-21
8,Add Glycerine,GAL,050000G,EU052000G4-21
9,Add PG,GAL,050000,EU052000G4-21
10,Add DYE-Liquitint Pink L83045,grams,050020,EU052000G4-21
11,Agitate for 10 minutes.,,,EU052000G4-21
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,EU052000G4-21
13,Ensure that any agitators used have been turned off.,,,EU052000G4-21
14,Remove GHS label from the mix vessel.,,,EU052000G4-21
1,Gather the required materials,,,052009G23-P9
2,Verify that vessel is clean. ,,,052009G23-P9
3,Apply GHS label to the mix vessel.,,,052009G23-P9
4,Charge vessel with water.,gal,WATER,052009G23-P9
5,Start agitator.,,,052009G23-P9
6,Add Preventol D7 ,lbs,030146P,052009G23-P9
7,Add Glycerine,gal,050000G,052009G23-P9
8,Add PG,gal,050000,052009G23-P9
9,Add DKP,gal,030066,052009G23-P9
10,Chromatech VIOLET 0974 L84020,grams,050012,052009G23-P9
11,Agitate for 20 minutes,,,052009G23-P9
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,052009G23-P9
13,Ensure that any agitators used have been turned off.,,,052009G23-P9
14,Remove GHS label from the mix vessel.,,,052009G23-P9
1,Gather the required materials.,,,052001G16/34BLU
2,Verify that vessel is clean. ,,,052001G16/34BLU
3,Apply GHS label to the mix vessel.,,,052001G16/34BLU
4,Charge vessel with water.,GAL,WATER,052001G16/34BLU
5,Start agitator.,,,052001G16/34BLU
6,Add CHEM - PREVENTOL D7,lbs,030146P,052001G16/34BLU
7,Add Glycerine,GAL,050000G,052001G16/34BLU
8,Add PG,GAL,050000,052001G16/34BLU
9,Add CHEM - DKP - LIQUID  50% (12.84lb/gal),GAL,030066,052001G16/34BLU
10,Add DYE-Chromatint Patent Blue L85000,grams,100461,052001G16/34BLU
11,Agitate for 10 minutes.,,,052001G16/34BLU
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,052001G16/34BLU
13,Ensure that any agitators used have been turned off.,,,052001G16/34BLU
14,Remove GHS label from the mix vessel.,,,052001G16/34BLU
1,Gather the required materials.,,,052001G16/38GRN
2,Verify that vessel is clean. ,,,052001G16/38GRN
3,Apply GHS label to the mix vessel.,,,052001G16/38GRN
4,Charge vessel with water.,GAL,WATER,052001G16/38GRN
5,Start agitator.,,,052001G16/38GRN
6,Add CHEM - PREVENTOL D7,lbs,030146P,052001G16/38GRN
7,Add Glycerine,GAL,050000G,052001G16/38GRN
8,Add PG,GAL,050000,052001G16/38GRN
9,Add CHEM - DKP - LIQUID  50% (12.84lb/gal),GAL,030066,052001G16/38GRN
10,Add DYE-Chromatint 0218 (alizarine) GREEN,grams,100461,052001G16/38GRN
11,Agitate for 10 minutes.,,,052001G16/38GRN
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,052001G16/38GRN
13,Ensure that any agitators used have been turned off.,,,052001G16/38GRN
14,Remove GHS label from the mix vessel.,,,052001G16/38GRN
1,Gather the required materials.,,,052001G16/38RED
2,Verify that vessel is clean. ,,,052001G16/38RED
3,Apply GHS label to the mix vessel.,,,052001G16/38RED
4,Charge vessel with water.,GAL,WATER,052001G16/38RED
5,Start agitator.,,,052001G16/38RED
6,Add DYE-Chromatint Red 40 Liquid C73024X,grams,050008,052001G16/38RED
7,Add CHEM - PREVENTOL D7,lbs,030146P,052001G16/38RED
8,Add Glycerine,GAL,050000G,052001G16/38RED
9,Add PG,GAL,050000,052001G16/38RED
10,Add CHEM - DKP - LIQUID  50% (12.84lb/gal),GAL,030066,052001G16/38RED
11,Agitate for 10 minutes.,,,052001G16/38RED
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,052001G16/38RED
13,Ensure that any agitators used have been turned off.,,,052001G16/38RED
14,Remove GHS label from the mix vessel.,,,052001G16/38RED
1,Gather the required materials.,,,052001PG57BLUE
2,Verify that vessel is clean. ,,,052001PG57BLUE
3,Apply GHS label to the mix vessel.,,,052001PG57BLUE
4,Charge vessel with water.,gal,WATER,052001PG57BLUE
5,Start agitator.,,,052001PG57BLUE
6,Add PG,gal,050000,052001PG57BLUE
7,Add DKP,gal,030066,052001PG57BLUE
8,Add Liquidtint Patent Blue L85000,grams,100461,052001PG57BLUE
9,Agitate for 20 minutes.,,,052001PG57BLUE
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,052001PG57BLUE
11,Ensure that any agitators used have been turned off.,,,052001PG57BLUE
12,Remove GHS label from the mix vessel.,,,052001PG57BLUE
1,Gather the required materials.,,,EU052001G16/38G
2,Verify that vessel is clean. ,,,EU052001G16/38G
3,Apply GHS label to the mix vessel.,,,EU052001G16/38G
4,Charge vessel with water.,GAL,WATER,EU052001G16/38G
5,Start agitator.,,,EU052001G16/38G
6,Add CHEM - Busan 1264,lbs,030146,EU052001G16/38G
7,Add Glycerine,GAL,050000G,EU052001G16/38G
8,Add PG,GAL,050000,EU052001G16/38G
9,Add CHEM - DKP - LIQUID  50% (12.84lb/gal),GAL,030066,EU052001G16/38G
10,Add DYE-Chromatint 0218 (alizarine) GREEN,grams,100461,EU052001G16/38G
11,Agitate for 10 minutes.,,,EU052001G16/38G
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,EU052001G16/38G
13,Ensure that any agitators used have been turned off.,,,EU052001G16/38G
14,Remove GHS label from the mix vessel.,,,EU052001G16/38G
1,Gather the required materials.,,,052003G25/65GRN
2,Verify that vessel is clean. ,,,052003G25/65GRN
3,Apply GHS label to the mix vessel.,,,052003G25/65GRN
4,Charge vessel with water.,gal,WATER,052003G25/65GRN
5,Start agitator.,,,052003G25/65GRN
6,Add Preventol D7 CMIT,lbs,030146P,052003G25/65GRN
7,Add Glycerine,gal,050000G,052003G25/65GRN
8,Add PG,gal,050000,052003G25/65GRN
9,Add Dipotassium Phosphate,gal,030066,052003G25/65GRN
10,Add Chromatint Green 0218 dye,lbs,240011,052003G25/65GRN
12,Agitate for 20 minutes.,,,052003G25/65GRN
13,Sample blend; label sample container; and deliver sample to QC Lab.,,,052003G25/65GRN
14,Ensure that any agitators used have been turned off.,,,052003G25/65GRN
15,Remove GHS label from the mix vessel.,,,052003G25/65GRN
1,Gather the required materials.,,,052003G25/65RED
2,Verify that vessel is clean. ,,,052003G25/65RED
3,Apply GHS label to the mix vessel.,,,052003G25/65RED
4,Charge vessel with water.,gal,WATER,052003G25/65RED
5,Start agitator.,,,052003G25/65RED
6,Add Preventol D7 CMIT,lbs,030146P,052003G25/65RED
7,Add Glycerine,gal,050000G,052003G25/65RED
8,Add PG,gal,050000,052003G25/65RED
9,Add Dipotassium Phosphate,gal,030066,052003G25/65RED
10,Add Chromatint Green 0218 dye,grams,050008,052003G25/65RED
12,Agitate for 20 minutes.,,,052003G25/65RED
13,Sample blend; label sample container; and deliver sample to QC Lab.,,,052003G25/65RED
14,Ensure that any agitators used have been turned off.,,,052003G25/65RED
15,Remove GHS label from the mix vessel.,,,052003G25/65RED
1,Gather the required materials.,,,052003PG93GRN
2,Verify that vessel is clean. ,,,052003PG93GRN
3,Apply GHS label to the mix vessel.,,,052003PG93GRN
4,Charge vessel with water.,gal,WATER,052003PG93GRN
5,Start agitator. ,,,052003PG93GRN
6,Add PG.,gal,050000,052003PG93GRN
7,Add DKP,gal,030066,052003PG93GRN
9,Add Chromatint Green 1707 - **DIFFERENT DYE**,grams,030181,052003PG93GRN
10,Agitate for 10 minutes.,,,052003PG93GRN
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,052003PG93GRN
12,Ensure that any agitators used have been turned off.,,,052003PG93GRN
13,Remove GHS label from the mix vessel.,,,052003PG93GRN
1,Gather the required materials.,,,EU052003G25/65G
2,Verify that vessel is clean. ,,,EU052003G25/65G
3,Apply GHS label to the mix vessel.,,,EU052003G25/65G
4,Charge vessel with water.,gal,WATER,EU052003G25/65G
5,Start agitator.,,,EU052003G25/65G
6,Add Busan 1264,lbs,030146,EU052003G25/65G
7,Add Glycerine,gal,050000G,EU052003G25/65G
8,Add PG,gal,050000,EU052003G25/65G
9,Add Dipotassium Phosphate,gal,030066,EU052003G25/65G
10,Add Chromatint Green 0218 dye,lbs,240011,EU052003G25/65G
12,Agitate for 20 minutes.,,,EU052003G25/65G
13,Sample blend; label sample container; and deliver sample to QC Lab.,,,EU052003G25/65G
14,Ensure that any agitators used have been turned off.,,,EU052003G25/65G
15,Remove GHS label from the mix vessel.,,,EU052003G25/65G
1,Gather the required materials.,,,100527
2,Verify that vessel is clean. ,,,100527
3,Apply GHS label to the mix vessel.,,,100527
4,Charge vessel with Emusifier 300.,lbs,100528,100527
5,Start agitator.,,,100527
6,Add Mineral Seal Oil - Calumet Solvent 600,lbs,100529,100527
7,Add Glycol Ether EB,lbs,030012,100527
8,Add water.,lbs,WATER,100527
9,Agitate for 20 minutes.,,,100527
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,100527
11,Ensure that any agitators used have been turned off.,,,100527
12,Remove GHS label from the mix vessel.,,,100527
1,Gather the required materials.,,,234357-35.B
2,Verify that vessel is clean. ,,,234357-35.B
3,Apply GHS label to the mix vessel.,,,234357-35.B
4,Charge vessel with water.,,WATER,234357-35.B
5,Start agitator.,,,234357-35.B
6,Add Methanol,,500200,234357-35.B
7,Add Liquidtint Patent Blue L85000,,100461,234357-35.B
8,Add Bitrex,,100511,234357-35.B
9,Agitate for 20 minutes.,,,234357-35.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,234357-35.B
11,Ensure that any agitators used have been turned off.,,,234357-35.B
12,Remove GHS label from the mix vessel.,,,234357-35.B
1,Gather the required materials.,,,234526-35.B
2,Verify that vessel is clean. ,,,234526-35.B
3,Apply GHS label to the mix vessel.,,,234526-35.B
4,Charge vessel with water.,,WATER,234526-35.B
5,Start agitator.,,,234526-35.B
6,Add Methanol,,500200,234526-35.B
7,Add Liquitint Patent Blue L85000,,100461,234526-35.B
8,Add Bitrex ,,100511,234526-35.B
9,Agitate for 20 minutes.,,,234526-35.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,234526-35.B
11,Ensure that any agitators used have been turned off.,,,234526-35.B
12,Remove GHS label from the mix vessel.,,,234526-35.B
1,Gather the required materials.,,,234526-35.B
2,Verify that vessel is clean. ,,,234526-35.B
3,Apply GHS label to the mix vessel.,,,234526-35.B
4,Charge vessel with water.,,WATER,234526-35.B
5,Start agitator.,,,234526-35.B
6,Add Methanol,,500200,234526-35.B
7,Add Liquitint Patent Blue L85000,,100461,234526-35.B
8,Add Bitrex ,,100511,234526-35.B
9,Agitate for 20 minutes.,,,234526-35.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,234526-35.B
11,Ensure that any agitators used have been turned off.,,,234526-35.B
12,Remove GHS label from the mix vessel.,,,234526-35.B
1,Gather the required materials.,,,234926-35
2,Verify that vessel is clean. ,,,234926-35
3,Apply GHS label to the mix vessel.,,,234926-35
4,Charge vessel with water.,,WATER,234926-35
5,Start agitator.,,,234926-35
6,Add Methanol,,500200,234926-35
7,Add DYE - L83110 LIQUITINT RED 2177,,500322,234926-35
8,Add Bitrex ,,100511,234926-35
9,Agitate for 20 minutes.,,,234926-35
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,234926-35
11,Ensure that any agitators used have been turned off.,,,234926-35
12,Remove GHS label from the mix vessel.,,,234926-35
1,Gather the required materials.,,,235826-35.B
2,Verify that vessel is clean. ,,,235826-35.B
3,Apply GHS label to the mix vessel.,,,235826-35.B
4,Charge vessel with water.,,WATER,235826-35.B
5,Start agitator.,,,235826-35.B
6,Add Rocima - NASH MBC-997,,030034,235826-35.B
7,Add Liquitint Patent Blue,,100461,235826-35.B
9,Add Bitrex,,100511,235826-35.B
10,Agitate for 20 minutes.,,,235826-35.B
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,235826-35.B
11,Ensure that any agitators used have been turned off.,,,235826-35.B
12,Remove GHS label from the mix vessel.,,,235826-35.B
1,Gather the required materials.,,,236226-35.B
2,Verify that vessel is clean. ,,,236226-35.B
3,Apply GHS label to the mix vessel.,,,236226-35.B
4,Charge vessel with water.,,WATER,236226-35.B
5,Start agitator.,,,236226-35.B
6,Add Methanol,,500200,236226-35.B
7,Add Liquidtint Patent Blue 85000,,100461,236226-35.B
8,Add Bitrex,,100511,236226-35.B
9,Agitate for 20 minutes.,,,236226-35.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,236226-35.B
11,Ensure that any agitators used have been turned off.,,,236226-35.B
12,Remove GHS label from the mix vessel.,,,236226-35.B
1,Gather the required materials.,,,237000.B
2,Verify that vessel is clean. ,,,237000.B
3,Apply GHS label to the mix vessel.,,,237000.B
4,Charge vessel with water.,,WATER,237000.B
5,Start agitator.,,,237000.B
6,Add Methanol,,500200,237000.B
7,Add Liquidtint Violet 0974 (L84020) Dye,,050012,237000.B
8,Add Bitrex,,100511,237000.B
9,Agitate for 20 minutes.,,,237000.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,237000.B
11,Ensure that any agitators used have been turned off.,,,237000.B
12,Remove GHS label from the mix vessel.,,,237000.B
1,Gather the required materials.,,,208367V3.B
2,Verify that vessel is clean. ,,,208367V3.B
3,Apply GHS label to the mix vessel.,,,208367V3.B
4,Charge vessel with water.,,WATER,208367V3.B
5,Start agitator.,,,208367V3.B
6,Add Berol 226  (tote/pump/scale),,100526,208367V3.B
7,Add Drying Agent (tote/pump/scale),,100527,208367V3.B
8,Add Rocima - Nash MBC 997 (tote/pump/scale),,030034,208367V3.B
9,Add Bitrex,,100511,208367V3.B
10,Add D96281 CHROMATINT GREEN 1736A,,500323,208367V3.B
11,Agitate for 20 minutes.,,,208367V3.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,208367V3.B
13,Ensure that any agitators used have been turned off.,,,208367V3.B
14,Remove GHS label from the mix vessel.,,,208367V3.B
1,Gather the required materials.,,,234192-T35.B
2,Verify that vessel is clean. ,,,234192-T35.B
3,Apply GHS label to the mix vessel.,,,234192-T35.B
4,Charge vessel with water.,,WATER,234192-T35.B
5,Start agitator.,,,234192-T35.B
6,Add Methanol,,500200,234192-T35.B
7,Add H-Sil SQ,,100530,234192-T35.B
8,Add Glycol Ether DPM,,030011,234192-T35.B
9,Add Liquidtint Violet 0974 (L84020) Dye,,050012,234192-T35.B
10,Add Bitrex,,100511,234192-T35.B
11,Agitate for 20 minutes.,,,234192-T35.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,234192-T35.B
13,Ensure that any agitators used have been turned off.,,,234192-T35.B
14,Remove GHS label from the mix vessel.,,,234192-T35.B
1,Gather the required materials.,,,238197-35.B
2,Verify that vessel is clean. ,,,238197-35.B
3,Apply GHS label to the mix vessel.,,,238197-35.B
4,Charge vessel with water.,,WATER,238197-35.B
5,Start agitator.,,,238197-35.B
6,Add Methanol,,500200,238197-35.B
7,Add H-Sil SQ,,100530,238197-35.B
8,Add Glycol Ether DPM,,030011,238197-35.B
9,Add Liquidtint Brilliant Orange Dye,,500321,238197-35.B
10,Add Bitrex,,100511,238197-35.B
11,Agitate for 20 minutes.,,,238197-35.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,238197-35.B
13,Ensure that any agitators used have been turned off.,,,238197-35.B
14,Remove GHS label from the mix vessel.,,,238197-35.B
1,Gather the required materials.,,,239192-35.B
2,Verify that vessel is clean. ,,,239192-35.B
3,Apply GHS label to the mix vessel.,,,239192-35.B
4,Charge vessel with water.,,WATER,239192-35.B
5,Start agitator.,,,239192-35.B
6,Add Methanol,,500200,239192-35.B
7,Add H-Sil SQ,,100530,239192-35.B
8,Add Glycol Ether DPM,,030011,239192-35.B
9,Add Liquidtint Violet 0974 (L84020) Dye,,,239192-35.B
10,Add Bitrex,,100511,239192-35.B
11,Agitate for 20 minutes.,,,239192-35.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,239192-35.B
13,Ensure that any agitators used have been turned off.,,,239192-35.B
14,Remove GHS label from the mix vessel.,,,239192-35.B
1,Gather the required materials. Use PPE as shown Use only high speed disperser with agitator drum  ,,,602025KPK.B
2,Verify that the vessel is clean and grounded. ,,,602025KPK.B
3,Ensure the drums is secured via strap to mixer (see picture),,,602025KPK.B
3,Charge vessel with Methyl Ethyl Ketone- use only grounded metal pails ,lbs,100546,602025KPK.B
4,Slowly add Xylene via grounded pail,lbs,100538,602025KPK.B
5,Start Agitation to approx 800 digital readout,,,602025KPK.B
6,Mix MEK and Xylene for 5 minutes,,,602025KPK.B
7,Slowly add RM CP 450,lbs,100539,602025KPK.B
9,Slowly philolite AC4,lbs,100540,602025KPK.B
10,Cover the drum to prevent evaporation,,,602025KPK.B
11,Increase mixer to 1200 rpm and grind 50 minutes,,,602025KPK.B
12,"After mixing bring a sample to lab, vinyl should be completely dissolved",,,602025KPK.B
13,"Using grounded pail add Talc, product should be creamy gray ",lbs,100541,602025KPK.B
14,Using grounded pailadd Vikoflex 7170,lbs,100542,602025KPK.B
15,Using grounded pail add Kflex 500,lbs,100543,602025KPK.B
14,"Add Black Tint Paste (make sure its uniform, or mix if separated",lbs,841BLK.B,602025KPK.B
15,Let mix approx. 2  hours at level 1200,,,602025KPK.B
16,Using grounded pail add Acetone (Product will be hot),lbs,100544,602025KPK.B
17,After Acetone reduce mixer to 950-1000 digital readout,,,602025KPK.B
18,After 5 minutes use dedicated scoop to sample blend,,,602025KPK.B
19,Sample blend; label sample container; and deliver sample to QC Lab.,,,602025KPK.B
20,If viscosity needs adjustment lab will inform how much MEK is needed,,,602025KPK.B
21,Sample blend; label sample container; and deliver sample to QC Lab.,,,602025KPK.B
22,Filter batch into new clean drum with agitator,,,602025KPK.B
23,Clean mixer and flush pump thoroughly with MEK,,,602025KPK.B
1,Gather the required materials. Use PPE as shown Use only high speed disperser with agitator drum  ,,,602026KPK.B
2,Verify that the vessel is clean and grounded. ,,,602026KPK.B
3,Ensure the drums is secured via strap to mixer (see picture),,,602026KPK.B
3,Charge vessel with Methyl Ethyl Ketone- use only grounded metal pails ,lbs,100546,602026KPK.B
4,Slowly add Xylene via grounded pail,lbs,100538,602026KPK.B
5,Start Agitation to approx 800 digital readout,,,602026KPK.B
6,Mix MEK and Xylene for 5 minutes,,,602026KPK.B
7,Slowly add RM CP 450,lbs,100539,602026KPK.B
9,Slowly philolite AC4,lbs,100540,602026KPK.B
10,Cover the drum to prevent evaporation,,,602026KPK.B
11,Increase mixer to 1200 rpm and grind 50 minutes,,,602026KPK.B
12,"After mixing bring a sample to lab, vinyl should be completely dissolved",,,602026KPK.B
13,"Using grounded pail add Talc, product should be creamy gray ",lbs,100541,602026KPK.B
14,Using grounded pailadd Vikoflex 7170,lbs,100542,602026KPK.B
15,Using grounded pail add Kflex 500,lbs,100543,602026KPK.B
16,"Add Red Tint Paste (make sure its uniform, or mix if separated",lbs,100549,602026KPK.B
17,Let mix approx. 2  hours at level 1200,,,602026KPK.B
18,Using grounded pail add Acetone (Product will be hot),lbs,100544,602026KPK.B
19,After Acetone reduce mixer to 950-1000 digital readout,,,602026KPK.B
20,After 5 minutes use dedicated scoop to sample blend,,,602026KPK.B
21,Sample blend; label sample container; and deliver sample to QC Lab.,,,602026KPK.B
22,If viscosity needs adjustment lab will inform how much MEK is needed,,,602026KPK.B
23,Sample blend; label sample container; and deliver sample to QC Lab.,,,602026KPK.B
24,Filter batch into new clean drum with agitator,,,602026KPK.B
25,Clean mixer and flush pump thoroughly with MEK,,,602026KPK.B
1,Gather the required materials. Use PPE as shown Use only high speed disperser with agitator drum  ,,,602027KPK.B
2,Verify that the vessel is clean and grounded. ,,,602027KPK.B
3,Ensure the drums is secured via strap to mixer (see picture),,,602027KPK.B
3,Charge vessel with Methyl Ethyl Ketone- use only grounded metal pails ,lbs,100546,602027KPK.B
4,Slowly add Xylene via grounded pail,lbs,100538,602027KPK.B
5,Start Agitation to approx 800 digital readout,,,602027KPK.B
6,Mix MEK and Xylene for 5 minutes,,,602027KPK.B
7,Slowly add RM CP 450,lbs,100539,602027KPK.B
9,Slowly philolite AC4,lbs,100540,602027KPK.B
10,Cover the drum to prevent evaporation,,,602027KPK.B
11,Increase mixer to 1200 rpm and grind 50 minutes,,,602027KPK.B
12,"After mixing bring a sample to lab, vinyl should be completely dissolved",,,602027KPK.B
13,"Using grounded pail add Talc, product should be creamy gray ",lbs,100541,602027KPK.B
14,Using grounded pailadd Vikoflex 7170,lbs,100542,602027KPK.B
15,Using grounded pail add Kflex 500,lbs,100543,602027KPK.B
16,"Add Phthalo Green Tint Paste (make sure its uniform, or mix if separated",lbs,100551,602027KPK.B
17,Add VPU White - VPU100000560,lbs,100550,602027KPK.B
18,Let mix approx. 2  hours at level 1200,,,602027KPK.B
19,Using grounded pail add Acetone (Product will be hot),lbs,100544,602027KPK.B
20,After Acetone reduce mixer to 950-1000 digital readout,,,602027KPK.B
21,After 5 minutes use dedicated scoop to sample blend,,,602027KPK.B
22,Sample blend; label sample container; and deliver sample to QC Lab.,,,602027KPK.B
23,If viscosity needs adjustment lab will inform how much MEK is needed,,,602027KPK.B
24,Sample blend; label sample container; and deliver sample to QC Lab.,,,602027KPK.B
25,Filter batch into new clean drum with agitator,,,602027KPK.B
26,Clean mixer and flush pump thoroughly with MEK,,,602027KPK.B
1,Gather the required materials. Use PPE as shown Use only high speed disperser with agitator drum  ,,,602028KPK.B
2,Verify that the vessel is clean and grounded. ,,,602028KPK.B
3,Ensure the drums is secured via strap to mixer (see picture),,,602028KPK.B
4,Charge vessel with Methyl Ethyl Ketone- use only grounded metal pails ,lbs,100546,602028KPK.B
5,Slowly add Xylene via grounded pail,lbs,100538,602028KPK.B
6,Start Agitation to approx 800 digital readout,,,602028KPK.B
7,Mix MEK and Xylene for 5 minutes,,,602028KPK.B
8,Slowly add RM CP 450,lbs,100539,602028KPK.B
9,Slowly philolite AC4,lbs,100540,602028KPK.B
10,Cover the drum to prevent evaporation,,,602028KPK.B
11,Increase mixer to 1200 rpm and grind 50 minutes,,,602028KPK.B
12,"After mixing bring a sample to lab, vinyl should be completely dissolved",,,602028KPK.B
13,"Using grounded pail add Talc, product should be creamy gray ",lbs,100541,602028KPK.B
14,Using grounded pailadd Vikoflex 7170,lbs,100542,602028KPK.B
15,Using grounded pail add Kflex 500,lbs,100543,602028KPK.B
16,"Add White Tint Paste (make sure its uniform, or mix if separated",lbs,100550,602028KPK.B
17,Let mix approx. 2  hours at level 1200,,,602028KPK.B
18,Using grounded pail add Acetone (Product will be hot),lbs,100544,602028KPK.B
19,After Acetone reduce mixer to 950-1000 digital readout,,,602028KPK.B
20,After 5 minutes use dedicated scoop to sample blend,,,602028KPK.B
21,Sample blend; label sample container; and deliver sample to QC Lab.,,,602028KPK.B
22,If viscosity needs adjustment lab will inform how much MEK is needed,,,602028KPK.B
23,Sample blend; label sample container; and deliver sample to QC Lab.,,,602028KPK.B
24,Filter batch into new clean drum with agitator,,,602028KPK.B
25,Clean mixer and flush pump thoroughly with MEK,,,602028KPK.B
1,Gather the required materials. Use PPE as shown Use only high speed disperser with agitator drum  ,,,602034KPK.B
2,Verify that the vessel is clean and grounded. ,,,602034KPK.B
3,Ensure the drums is secured via strap to mixer (see picture),,,602034KPK.B
3,Charge vessel with Methyl Ethyl Ketone- use only grounded metal pails ,lbs,100546,602034KPK.B
4,Slowly add Xylene via grounded pail,lbs,100538,602034KPK.B
5,Start Agitation to approx 800 digital readout,,,602034KPK.B
6,Mix MEK and Xylene for 5 minutes,,,602034KPK.B
7,Slowly add RM CP 450,lbs,100539,602034KPK.B
9,Slowly philolite AC4,lbs,100540,602034KPK.B
10,Cover the drum to prevent evaporation,,,602034KPK.B
11,Increase mixer to 1200 rpm and grind 50 minutes,,,602034KPK.B
12,"After mixing bring a sample to lab, vinyl should be completely dissolved",,,602034KPK.B
13,"Using grounded pail add Talc, product should be creamy gray ",lbs,100541,602034KPK.B
14,Using grounded pailadd Vikoflex 7170,lbs,100542,602034KPK.B
15,Using grounded pail add Kflex 500,lbs,100543,602034KPK.B
16,Let mix approx. 2  hours at level 1200,,,602034KPK.B
17,Using grounded pail add Acetone (Product will be hot),lbs,100544,602034KPK.B
18,After Acetone reduce mixer to 950-1000 digital readout,,,602034KPK.B
19,After 5 minutes use dedicated scoop to sample blend,,,602034KPK.B
20,Sample blend; label sample container; and deliver sample to QC Lab.,,,602034KPK.B
21,If viscosity needs adjustment lab will inform how much MEK is needed,,,602034KPK.B
22,Sample blend; label sample container; and deliver sample to QC Lab.,,,602034KPK.B
23,Filter batch into new clean drum with agitator,,,602034KPK.B
24,Clean mixer and flush pump thoroughly with MEK,,,602034KPK.B
1,Gather the required materials. Use only high speed disperser with agitator drum  ,,,841BLK.B
2,Verify that the vessel is clean and grounded. ,,,841BLK.B
3,Place slip sheet under drum to prevent tracking Carbon Black,,,841BLK.B
3,Charge vessel with Xylene - use only metal pails make sure that ,lbs,100538,841BLK.B
4,Start agitator at low speed 175 on digital readout,,,841BLK.B
5,Slowly add K-flex 500,lbs,100543,841BLK.B
6,Solution should be clear,,,841BLK.B
7,Increase Agitation to 400-500 digital readout,,,841BLK.B
8,Slowly add Carbon Black - ,lbs,100545,841BLK.B
9,Raise and lower agitator to fully disperse Carbon Black,,,841BLK.B
10,Agitate for 60 minutes minutes:,,,841BLK.B
11,"Sample to blend, label sample container, and deliver to QC",,,841BLK.B
12,Check Hegman Grind 3 min.,,,841BLK.B
13,If approved - add LOT#'s to finished,,,841BLK.B
14,"If Grind is not 3, continue grinding for 15 mins more",,,841BLK.B
15,Add LOT#'s to finished totes,,,841BLK.B
